rooms,baths,area,lat,lng,amenity_count,has_swimming_pool,has_gym_or_health_club,has_covered_parking,has_lawn_or_garden,has_security_staff,has_balcony_or_terrace,has_jacuzzi,has_sauna,has_cctv_security,price_per_sqm,rooms_x_baths,area_per_room,amenity_density,total_amenities,city_en_enc,neighbourhood_en_enc,province_en_enc,furnishingStatus_furnished,furnishingStatus_unfurnished,furnishingStatus_unknown,completionStatus_completed,completionStatus_under-construction,property_type_en_Apartments,property_type_en_Cabins,property_type_en_Chalets,property_type_en_Duplexes,property_type_en_Hotel Apartments,property_type_en_Lands,property_type_en_Other Residential,property_type_en_Penthouses,property_type_en_Roofs,property_type_en_Rooms,property_type_en_Townhouses,property_type_en_Twin Houses,property_type_en_Villas,property_type_en_iVillas
1,2,73.0,30.0468424,30.998248,10,0,0,1,0,1,1,0,0,0,89547.94520547945,2,73.0,13.698630136986301,3,16.02378508137718,15.862682968241984,16.01134442508541,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4,230.0,31.0198818,28.5967522,7,0,0,1,1,1,0,0,0,0,173913.04347826086,16,57.5,3.0434782608695654,3,16.345788916607955,17.50439003707821,16.345788916607955,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
11,11,954.0,30.0035761,31.4056766,0,0,0,0,0,0,0,0,0,0,89098.53249475891,121,86.72727272727273,0.0,0,16.282847171369255,16.29204904211537,16.066802461833923,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3,3,234.0,29.9924715,30.8920785,0,0,0,0,0,0,0,0,0,0,65705.1282051282,9,78.0,0.0,0,16.10616420501588,16.360729622918004,16.01134442508541,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3,3,205.0,29.9924715,30.8920785,40,1,1,1,1,1,1,1,1,0,50853.65853658537,9,68.33333333333333,19.512195121951223,8,16.10616420501588,16.360729622918004,16.01134442508541,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,2,145.0,30.8583492,28.9042079,0,0,0,0,0,0,0,0,0,0,48275.862068965514,4,72.5,0.0,0,16.345788916607955,15.76142084987672,16.345788916607955,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4,3,280.0,29.9924715,30.8920785,0,0,0,0,0,0,0,0,0,0,46428.57142857143,12,70.0,0.0,0,16.10616420501588,16.360729622918004,16.01134442508541,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2,1,59.0,30.8412642,28.9270873,4,0,0,0,0,1,1,0,0,0,59322.03389830508,2,29.5,6.779661016949153,2,16.345788916607955,15.76142084987672,16.345788916607955,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3,3,220.0,29.9637831,31.5383442,24,1,1,1,1,1,0,1,1,1,54545.454545454544,9,73.33333333333333,10.909090909090908,8,16.282847171369255,16.29204904211537,16.066802461833923,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,3,200.0,29.9842656,31.540594,15,0,0,1,1,1,1,0,0,1,96710.0,9,66.66666666666667,7.5,5,16.282847171369255,16.29204904211537,16.066802461833923,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,5,370.0,31.00763549,29.75773621,24,0,0,1,1,1,0,0,0,1,16756.756756756757,20,92.5,6.486486486486486,4,16.18295155698594,15.747032114495013,15.851522672265068,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
5,4,212.0,30.0941611,31.7041108,28,1,1,1,1,0,1,1,1,0,47169.811320754714,20,42.4,13.20754716981132,7,15.82707481102028,15.793051943818522,16.066802461833923,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1,72.0,30.06805,31.406379,10,0,0,1,0,1,1,0,0,1,53555.555555555555,0,60.0,13.88888888888889,4,16.282847171369255,16.489659276356317,16.066802461833923,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,3,375.0,30.0025075,31.0003656,21,1,1,1,1,0,0,1,1,0,26842.666666666668,9,125.0,5.6,6,16.10616420501588,16.52356082573315,16.01134442508541,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2,128.0,30.06805,31.406379,27,1,1,1,1,1,1,1,1,0,44078.125,4,64.0,21.09375,8,16.282847171369255,16.489659276356317,16.066802461833923,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2,160.0,29.9678067,31.5159872,6,0,0,1,0,0,0,0,0,0,39375.0,6,53.333333333333336,3.75,1,16.282847171369255,16.29204904211537,16.066802461833923,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,3,192.0,29.9842656,31.540594,17,0,0,0,0,1,0,0,0,1,72916.66666666667,9,64.0,8.854166666666668,2,16.282847171369255,16.29204904211537,16.066802461833923,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2,225.0,30.99104,30.0537,0,0,0,0,0,0,0,0,0,0,37777.77777777778,6,75.0,0.0,0,16.02378508137718,15.585265227956793,16.01134442508541,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
